iso2,year,disease
AD,1993,15
AD,1994,24
AD,1996,8
AD,1997,17
AD,1998,1
AD,1999,4
AD,2000,1
AD,2001,3
AD,2002,2
AD,2003,7
AD,2004,3
AD,2005,5
AD,2006,8
AD,2007,2
AD,2008,3
AE,1999,31
AE,2000,73
AE,2001,69
AE,2002,57
AE,2003,77
AE,2004,57
AE,2005,62
AE,2006,52
AE,2007,56
AE,2008,50
AF,1997,618
AF,1998,1833
AF,1999,1669
AF,2000,2892
AF,2001,4639
AF,2002,6509
AF,2003,6510
AF,2004,8273
AF,2005,9949
AF,2006,12468
AF,2007,13213
AF,2008,13136
AG,1996,2
AG,1999,1
AG,2000,3
AG,2001,1
AG,2002,2
AG,2003,1
AG,2005,6
AG,2006,4
AG,2007,2
AG,2008,1
AI,1995,0
AI,1997,0
AI,2001,0
AI,2002,0
AI,2004,0
AI,2006,0
AI,2007,0
AL,1994,250
AL,1995,139
AL,1996,173
AL,1997,241
AL,1998,212
AL,1999,168
AL,2000,171
AL,2001,171
AL,2002,225
AL,2003,211
AL,2004,201
AL,2005,196
AL,2006,186
AL,2007,165
AL,2008,170
AM,1994,319
AM,1995,436
AM,1996,327
AM,1997,400
AM,1998,475
AM,1999,576
AM,2000,621
AM,2001,572
AM,2002,511
AM,2003,575
AM,2004,602
AM,2005,581
AM,2006,580
AM,2007,497
AM,2008,487
AN,1996,3
AN,1997,5
AN,1998,6
AN,1999,2
AN,2000,2
AN,2001,7
AN,2002,9
AN,2003,4
AN,2004,8
AN,2006,5
AO,1993,4874
AO,1994,4337
AO,1995,3804
AO,1996,8016
AO,1997,8246
AO,1998,7333
AO,1999,7379
AO,2000,9053
AO,2001,11923
AO,2002,18087
AO,2003,18971
AO,2004,20301
AO,2005,20410
AO,2006,21499
AO,2007,21422
AO,2008,22562
AR,1993,5937
AR,1994,5696
AR,1995,5698
AR,1996,5787
AR,1997,5307
AR,1998,5186
AR,1999,4830
AR,2000,4749
AR,2001,5595
AR,2002,5498
AR,2003,4961
AR,2004,4760
AR,2005,4709
AR,2006,4834
AR,2007,4985
AR,2008,4758
AS,1993,1
AS,1994,4
AS,1996,0
AS,1997,6
AS,1998,2
AS,1999,3
AS,2000,2
AS,2001,2
AS,2002,1
AS,2003,2
AS,2004,2
AS,2005,3
AS,2006,3
AS,2007,0
AS,2008,0
AT,1995,467
AT,1996,442
AT,1997,434
AT,1998,381
AT,1999,323
AT,2000,324
AT,2001,262
AT,2002,220
AT,2003,269
AT,2004,216
AT,2005,234
AT,2006,213
AT,2007,189
AU,1993,557
AU,1997,226
AU,1998,203
AU,1999,285
AU,2000,251
AU,2001,228
AU,2002,210
AU,2003,113
AU,2004,285
AU,2005,241
AU,2006,269
AU,2007,281
AU,2008,299
AZ,1993,499
AZ,1994,513
AZ,1995,669
AZ,1996,990
AZ,1997,981
AZ,1998,727
AZ,1999,763
AZ,2000,890
AZ,2001,927
AZ,2002,1661
AZ,2003,1161
AZ,2004,1472
AZ,2005,1561
AZ,2006,1454
AZ,2007,1356
AZ,2008,1409
BA,1995,865
BA,1996,927
BA,1997,803
BA,1998,640
BA,1999,786
BA,2000,759
BA,2001,800
BA,2002,526
BA,2003,493
BA,2004,889
BA,2005,640
BA,2006,562
BA,2007,737
BA,2008,509
BB,1995,3
BB,1996,3
BB,1997,5
BB,1998,4
BB,1999,2
BB,2000,3
BB,2001,6
BB,2002,5
BB,2004,19
BB,2006,4
BB,2007,8
BB,2008,1
BD,1993,18993
BD,1994,1710
BD,1995,20524
BD,1996,29674
BD,1997,33117
BD,1998,37737
BD,1999,37821
BD,2000,38484
BD,2001,40777
BD,2002,46811
BD,2003,53618
BD,2004,62694
BD,2005,84848
BD,2006,101967
BD,2007,104296
BD,2008,106373
BE,1993,484
BE,1994,427
BE,1995,400
BE,1996,364
BE,1997,434
BE,1998,418
BE,1999,403
BE,2000,409
BE,2001,472
BE,2002,419
BE,2003,362
BE,2004,391
BE,2005,380
BE,2006,343
BE,2007,322
BE,2008,311
BF,1994,561
BF,1995,1028
BF,1996,1381
BF,1997,1126
BF,1998,1331
BF,1999,1411
BF,2000,1560
BF,2001,1522
BF,2002,1544
BF,2003,1703
BF,2004,1926
BF,2005,2294
BF,2006,2659
BF,2007,2614
BF,2008,2756
BG,1994,3096
BG,1995,1087
BG,1996,903
BG,1997,1037
BG,1998,1325
BG,1999,1697
BG,2000,2524
BG,2001,897
BG,2002,1007
BG,2003,1254
BG,2004,1315
BG,2005,1214
BG,2006,1307
BG,2007,1080
BG,2008,1020
BH,1993,82
BH,1995,17
BH,1996,31
BH,1997,22
BH,1998,25
BH,1999,21
BH,2000,23
BH,2001,23
BH,2002,17
BH,2003,16
BH,2004,69
BH,2005,101
BH,2006,98
BH,2007,109
BH,2008,141
BI,1993,1861
BI,1994,1527
BI,1995,1121
BI,1996,1533
BI,1997,2022
BI,1998,2782
BI,1999,2924
BI,2001,3040
BI,2002,2791
BI,2003,3087
BI,2004,3277
BI,2005,3262
BI,2006,3119
BI,2007,3595
BI,2008,3610
BJ,1993,1653
BJ,1994,1618
BJ,1995,1839
BJ,1996,1868
BJ,1997,1939
BJ,1998,1988
BJ,1999,2192
BJ,2000,2286
BJ,2002,2415
BJ,2003,2438
BJ,2004,2582
BJ,2005,2739
BJ,2006,2943
BJ,2008,2966
BM,1995,2
BM,1996,0
BM,1998,0
BM,1999,0
BM,2000,0
BM,2001,0
BM,2002,0
BM,2004,0
BM,2006,2
BN,1993,68
BN,1997,0
BN,1999,102
BN,2000,84
BN,2001,95
BN,2002,112
BN,2003,121
BN,2004,115
BN,2005,101
BN,2006,128
BN,2007,136
BN,2008,132
BO,1993,6833
BO,1994,6905
BO,1995,7010
BO,1996,6949
BO,1997,6458
BO,1998,6750
BO,1999,6673
BO,2000,6458
BO,2001,6672
BO,2002,6829
BO,2003,6344
BO,2004,6213
BO,2005,6278
BO,2006,5788
BO,2007,5686
BO,2008,6048
BR,1994,39167
BR,1995,45650
BR,1996,44503
BR,1997,43490
BR,1998,43554
BR,1999,41619
BR,2000,41186
BR,2001,38478
BR,2002,41371
BR,2003,39938
BR,2004,42881
BR,2005,42093
BR,2006,41117
BR,2007,38444
BR,2008,37697
BS,1993,41
BS,1994,41
BS,1995,38
BS,1996,25
BS,1997,57
BS,1998,30
BS,1999,37
BS,2000,56
BS,2002,32
BS,2003,29
BS,2004,37
BS,2007,32
BS,2008,31
BT,1994,352
BT,1995,367
BT,1996,308
BT,1997,284
BT,1998,270
BT,1999,315
BT,2000,347
BT,2001,359
BT,2002,364
BT,2003,360
BT,2004,356
BT,2005,308
BT,2006,312
BT,2007,328
BT,2008,351
BW,1993,1508
BW,1994,1668
BW,1995,1903
BW,1996,2530
BW,1997,2824
BW,1998,3112
BW,1999,2746
BW,2000,3091
BW,2001,3057
BW,2002,3334
BW,2003,3050
BW,2004,3127
BW,2005,3170
BW,2006,3252
BW,2007,3002
BW,2008,3351
BY,1993,1493
BY,1994,1775
BY,1995,1845
BY,1996,2117
BY,1997,2273
BY,1998,5047
BY,1999,2769
BY,2000,2547
BY,2001,2341
BY,2003,1018
BY,2004,1109
BY,2005,1235
BY,2006,1072
BY,2007,1051
BY,2008,1060
BZ,1993,50
BZ,1994,36
BZ,1995,36
BZ,1996,46
BZ,1997,32
BZ,1998,52
BZ,1999,48
BZ,2000,44
BZ,2001,53
BZ,2002,71
BZ,2003,62
BZ,2004,34
BZ,2005,59
BZ,2006,60
BZ,2007,54
BZ,2008,83
CA,1980,951
CA,1981,803
CA,1982,812
CA,1983,771
CA,1984,811
CA,1985,791
CA,1986,752
CA,1987,668
CA,1988,682
CA,1989,652
CA,1990,549
CA,1991,543
CA,1992,506
CA,1993,488
CA,1994,483
CA,1995,436
CA,1996,430
CA,1997,473
CA,1998,438
CA,1999,455
CA,2000,492
CA,2001,458
CA,2002,408
CA,2003,332
CA,2004,438
CA,2005,433
CA,2006,407
CA,2007,463
CA,2008,488
CD,1993,14924
CD,1995,20914
CD,1996,24125
CD,1997,24609
CD,1998,33442
CD,1999,34923
CD,2000,36123
CD,2001,42054
CD,2002,44518
CD,2003,53578
CD,2004,62192
CD,2005,65040
CD,2006,63488
CD,2007,66099
CD,2008,69477
CF,1995,1794
CF,1996,1992
CF,1997,2267
CF,1998,2637
CF,1999,2725
CF,2001,1382
CF,2002,2758
CF,2003,2818
CF,2004,2923
CF,2005,2153
CF,2006,4448
CF,2008,4232
CG,1994,1691
CG,1995,2013
CG,1996,2505
CG,1997,1984
CG,1998,2044
CG,1999,2222
CG,2000,4218
CG,2001,4319
CG,2002,5019
CG,2003,3477
CG,2004,4121
CG,2005,3640
CG,2006,3340
CG,2007,3552
CG,2008,3371
CH,1993,528
CH,1994,507
CH,1995,185
CH,1996,172
CH,1997,144
CH,1998,165
CH,1999,98
CH,2000,118
CH,2001,116
CH,2002,123
CH,2003,107
CH,2004,119
CH,2005,108
CH,2006,112
CH,2007,95
CH,2008,64
CI,1993,7012
CI,1995,8254
CI,1996,8927
CI,1997,9093
CI,1998,9850
CI,1999,10047
CI,2000,8497
CI,2001,10920
CI,2002,11026
CI,2003,11430
CI,2004,12250
CI,2005,12496
CI,2006,12867
CI,2007,14071
CI,2008,15294
CK,1980,8
CK,1981,2
CK,1982,12
CK,1983,15
CK,1984,3
CK,1985,8
CK,1986,3
CK,1987,2
CK,1988,0
CK,1989,2
CK,1990,0
CK,1991,1
CK,1992,6
CK,1993,5
CK,1994,4
CK,1995,2
CK,1996,1
CK,1997,2
CK,1998,0
CK,1999,0
CK,2000,0
CK,2001,2
CK,2002,1
CK,2003,0
CK,2004,1
CK,2005,1
CK,2006,0
CK,2008,2
CL,1993,2629
CL,1994,1951
CL,1995,1561
CL,1996,1562
CL,1997,1582
CL,1998,1576
CL,1999,1497
CL,2000,1290
CL,2001,1355
CL,2002,1412
CL,2003,1276
CL,2004,1297
CL,2005,1186
CL,2006,1533
CL,2007,1166
CL,2008,1114
CM,1993,2316
CM,1994,1883
CM,1995,2896
CM,1996,2312
CM,1997,3548
CM,1998,4374
CM,1999,5832
CM,2000,3960
CM,2001,4695
CM,2002,7921
CM,2003,10692
CM,2004,11218
CM,2005,13001
CM,2006,12870
CM,2007,13220
CM,2008,14232
CN,1993,84898
CN,1994,104729
CN,1995,134488
CN,1996,203670
CN,1997,236021
CN,1998,202817
CN,1999,201775
CN,2000,204765
CN,2001,204591
CN,2002,194972
CN,2003,267414
CN,2004,384886
CN,2005,472719
CN,2006,468291
CN,2007,465877
CN,2008,462596
CO,1993,6987
CO,1994,6532
CO,1995,7530
CO,1996,7572
CO,1997,6090
CO,1998,6969
CO,1999,8329
CO,2000,8358
CO,2001,8022
CO,2002,7787
CO,2003,7972
CO,2004,7640
CO,2005,6870
CO,2006,7648
CO,2007,7188
CO,2008,7196
CR,1994,230
CR,1995,245
CR,1996,302
CR,1997,320
CR,1998,353
CR,1999,458
CR,2000,349
CR,2001,385
CR,2002,328
CR,2003,346
CR,2004,419
CR,2005,330
CR,2006,285
CR,2007,322
CR,2008,287
CU,1993,565
CU,1994,914
CU,1995,834
CU,1996,835
CU,1997,765
CU,1998,746
CU,1999,720
CU,2000,675
CU,2001,559
CU,2002,540
CU,2003,507
CU,2004,453
CU,2005,467
CU,2006,432
CU,2007,432
CU,2008,498
CV,1995,111
CV,1996,117
CV,1997,103
CV,1998,104
CV,2001,140
CV,2002,111
CV,2003,165
CV,2004,169
CV,2005,135
CV,2006,131
CV,2007,158
CV,2008,197
CY,1995,6
CY,1996,3
CY,1997,19
CY,1998,20
CY,1999,9
CY,2000,4
CY,2001,0
CY,2002,8
CY,2003,14
CY,2004,10
CY,2005,9
CY,2006,8
CY,2007,8
CY,2008,6
CZ,1993,548
CZ,1994,524
CZ,1995,487
CZ,1996,586
CZ,1997,481
CZ,1998,545
CZ,1999,449
CZ,2000,420
CZ,2001,391
CZ,2002,329
CZ,2003,338
CZ,2004,302
CZ,2005,308
CZ,2006,257
CZ,2007,267
CZ,2008,251
DE,1993,4730
DE,1994,4177
DE,1995,3852
DE,1996,3689
DE,1997,3346
DE,1998,3124
DE,1999,2918
DE,2000,0
DE,2001,1935
DE,2002,1868
DE,2003,1679
DE,2004,1562
DE,2005,1379
DE,2006,1303
DE,2007,1183
DE,2008,954
DJ,1993,1668
DJ,1994,1743
DJ,1996,1744
DJ,1997,1904
DJ,1998,1690
DJ,1999,1564
DJ,2000,1391
DJ,2001,1312
DJ,2002,1253
DJ,2003,1202
DJ,2004,1086
DJ,2005,1120
DJ,2006,1153
DJ,2007,1208
DJ,2008,1375
DK,1993,243
DK,1994,120
DK,1995,128
DK,1996,97
DK,1997,114
DK,1998,132
DK,1999,172
DK,2000,171
DK,2001,127
DK,2002,135
DK,2003,143
DK,2004,146
DK,2005,129
DK,2006,123
DK,2007,135
DK,2008,106
DM,1993,6
DM,1994,8
DM,1995,5
DM,1996,7
DM,1997,5
DM,1998,5
DM,2002,2
DM,2006,8
DM,2007,3
DM,2008,3
DO,1993,2297
DO,1994,3177
DO,1995,2787
DO,1996,3733
DO,1997,3162
DO,1998,2669
DO,1999,3278
DO,2000,2907
DO,2001,2622
DO,2002,2179
DO,2003,2806
DO,2004,2720
DO,2005,2949
DO,2006,2658
DO,2007,2373
DO,2008,2458
DZ,1994,6793
DZ,1995,5735
DZ,1996,6556
DZ,1997,7740
DZ,1998,7462
DZ,1999,7845
DZ,2000,8328
DZ,2001,7953
DZ,2002,8246
DZ,2003,8549
DZ,2004,8285
DZ,2005,8654
DZ,2006,8538
DZ,2007,8439
DZ,2008,8643
EC,1993,5325
EC,1994,6674
EC,1995,5890
EC,1996,6426
EC,1997,7214
EC,1998,4900
EC,1999,4300
EC,2000,5064
EC,2001,4439
EC,2002,4223
EC,2003,4488
EC,2004,4340
EC,2005,3048
EC,2006,3182
EC,2007,3448
EC,2008,3380
EE,1993,303
EE,1994,347
EE,1995,369
EE,1996,240
EE,1997,269
EE,1998,299
EE,1999,274
EE,2000,255
EE,2001,212
EE,2002,203
EE,2003,201
EE,2004,203
EE,2005,162
EE,2006,147
EE,2007,168
EE,2008,144
EG,1994,1811
EG,1995,4229
EG,1996,5084
EG,1997,5469
EG,1998,4915
EG,1999,5094
EG,2000,4606
EG,2001,4514
EG,2002,4889
EG,2003,5118
EG,2004,5383
EG,2005,5217
EG,2006,4745
EG,2007,4887
EG,2008,5102
ER,1997,120
ER,1998,135
ER,1999,527
ER,2000,590
ER,2001,702
ER,2002,646
ER,2003,887
ER,2004,720
ER,2005,687
ER,2006,680
ER,2007,694
ER,2008,839
ES,1995,2605
ES,1998,1906
ES,2000,3423
ES,2001,2456
ES,2002,3317
ES,2003,2876
ES,2004,2082
ES,2005,2511
ES,2006,2006
ES,2007,2317
ES,2008,2333
ET,1994,5752
ET,1995,9040
ET,1996,13160
ET,1997,15957
ET,1998,18864
ET,1999,21597
ET,2000,30510
ET,2001,33028
ET,2002,36541
ET,2003,39698
ET,2004,41430
ET,2005,38525
ET,2006,36674
ET,2007,38040
ET,2008,40794
FI,1995,244
FI,1996,240
FI,1997,186
FI,1998,188
FI,1999,179
FI,2000,205
FI,2001,150
FI,2002,130
FI,2003,138
FI,2004,124
FI,2005,130
FI,2006,84
FI,2007,85
FI,2008,104
FJ,1984,82
FJ,1985,99
FJ,1986,86
FJ,1987,75
FJ,1988,65
FJ,1989,76
FJ,1990,84
FJ,1991,75
FJ,1992,75
FJ,1993,61
FJ,1994,62
FJ,1995,68
FJ,1996,69
FJ,1997,66
FJ,1998,74
FJ,1999,65
FJ,2000,62
FJ,2001,73
FJ,2002,74
FJ,2003,78
FJ,2004,62
FJ,2005,63
FJ,2006,73
FJ,2007,52
FJ,2008,78
FM,1995,9
FM,1996,14
FM,1997,9
FM,1998,14
FM,2000,15
FM,2001,8
FM,2002,22
FM,2003,26
FM,2004,35
FM,2005,32
FM,2006,41
FM,2007,47
FM,2008,38
FR,1993,4455
FR,1994,3196
FR,1995,3449
FR,1996,3002
FR,1997,2430
FR,1999,2325
FR,2000,1815
FR,2001,2398
FR,2002,2276
FR,2003,2219
FR,2004,1923
FR,2005,1941
FR,2006,1911
FR,2007,1921
FR,2008,1222
GA,1994,395
GA,1995,486
GA,1996,263
GA,1997,577
GA,1998,889
GA,1999,916
GA,2001,1137
GA,2002,1033
GA,2003,1233
GA,2004,1323
GA,2005,1042
GA,2006,1145
GA,2007,1462
GA,2008,1502
GB,1993,283
GB,1994,270
GB,1996,4147
GB,1997,844
GB,1998,1342
GB,1999,797
GB,2000,1204
GB,2001,946
GB,2002,1365
GB,2003,1455
GB,2004,1693
GB,2005,1821
GB,2006,1767
GB,2007,1639
GB,2008,1286
GD,1993,0
GD,1994,3
GD,1995,2
GD,1996,0
GD,1997,1
GD,1998,2
GD,1999,3
GD,2000,0
GD,2002,0
GD,2003,2
GD,2004,2
GD,2006,1
GD,2007,3
GD,2008,5
GE,1995,221
GE,1996,482
GE,1997,595
GE,1998,547
GE,1999,746
GE,2000,601
GE,2001,1014
GE,2002,987
GE,2003,989
GE,2004,1311
GE,2005,1509
GE,2006,1831
GE,2007,1867
GE,2008,1868
GH,1994,5778
GH,1995,2638
GH,1996,6474
GH,1997,7254
GH,1998,7757
GH,1999,6877
GH,2000,7316
GH,2001,7712
GH,2002,7732
GH,2003,7714
GH,2004,7259
GH,2005,7505
GH,2006,7786
GH,2007,7429
GH,2008,7904
GM,1995,778
GM,1996,743
GM,1997,820
GM,1998,900
GM,1999,861
GM,2002,1035
GM,2003,1040
GM,2004,1011
GM,2005,1127
GM,2006,1209
GM,2007,1238
GM,2008,1300
GN,1993,2082
GN,1994,2158
GN,1995,2263
GN,1996,2844
GN,1997,2981
GN,1998,3362
GN,1999,3563
GN,2000,3920
GN,2001,4092
GN,2002,4300
GN,2003,4495
GN,2004,5015
GN,2005,5479
GN,2006,5903
GN,2007,6199
GN,2008,6561
GQ,1995,219
GQ,1996,209
GQ,1997,226
GQ,1998,284
GQ,2004,406
GQ,2008,541
GR,1997,285
GR,1998,313
GR,1999,143
GR,2000,235
GR,2001,213
GR,2002,212
GR,2003,234
GR,2004,176
GR,2005,197
GR,2006,210
GR,2007,257
GR,2008,80
GT,1993,2128
GT,1994,1994
GT,1995,2368
GT,1996,2224
GT,1997,2218
GT,1998,2255
GT,1999,2264
GT,2000,2052
GT,2001,1669
GT,2002,1865
GT,2003,1795
GT,2004,2339
GT,2005,2420
GT,2006,2501
GT,2007,2348
GT,2008,2070
GU,1994,40
GU,2000,43
GU,2001,47
GU,2002,31
GU,2003,0
GU,2004,22
GU,2005,27
GU,2006,21
GU,2007,5
GU,2008,31
GW,1995,956
GW,1996,922
GW,1997,855
GW,1998,541
GW,1999,704
GW,2000,526
GW,2002,899
GW,2003,963
GW,2004,1186
GW,2005,1132
GW,2006,1030
GW,2008,1223
GY,1993,51
GY,1994,61
GY,1995,85
GY,1996,71
GY,1997,105
GY,1998,85
GY,1999,178
GY,2000,119
GY,2001,174
GY,2002,138
GY,2003,244
GY,2004,164
GY,2005,240
GY,2006,294
GY,2007,233
GY,2008,320
HK,1992,0
HK,1993,2429
HK,1995,0
HK,1996,1774
HK,1997,1943
HK,1998,2091
HK,1999,1536
HK,2000,1940
HK,2001,1857
HK,2002,1892
HK,2003,1794
HK,2004,1693
HK,2005,1561
HK,2006,1537
HK,2007,1501
HK,2008,1459
HN,1993,2016
HN,1994,2385
HN,1995,2306
HN,1996,1808
HN,1997,1928
HN,1998,2311
HN,1999,2415
HN,2000,3404
HN,2001,3141
HN,2002,3080
HN,2003,2139
HN,2004,2011
HN,2005,2069
HN,2006,2018
HN,2007,1974
HN,2008,1897
HR,1995,1204
HR,1996,1228
HR,1997,1073
HR,1998,1129
HR,1999,748
HR,2000,0
HR,2001,421
HR,2002,437
HR,2003,438
HR,2004,416
HR,2005,372
HR,2006,396
HR,2007,382
HR,2008,328
HT,1996,3524
HT,1997,5497
HT,1998,6442
HT,1999,6828
HT,2000,5887
HT,2001,5607
HT,2002,6188
HT,2003,7015
HT,2004,7044
HT,2005,7340
HT,2006,7461
HT,2007,7915
HT,2008,8171
HU,1993,1905
HU,1994,1357
HU,1995,796
HU,1996,1066
HU,1997,702
HU,1998,667
HU,1999,660
HU,2000,412
HU,2001,546
HU,2002,556
HU,2003,526
HU,2004,560
HU,2005,423
HU,2006,422
HU,2007,381
HU,2008,346
ID,1993,62966
ID,1994,49647
ID,1995,31768
ID,1996,11790
ID,1997,19492
ID,1998,32280
ID,1999,49172
ID,2000,52338
ID,2001,53965
ID,2002,76230
ID,2003,92566
ID,2004,128981
ID,2005,158640
ID,2006,175320
ID,2007,160617
ID,2008,166376
IE,1996,339
IE,1997,123
IE,1998,116
IE,1999,117
IE,2000,138
IE,2001,123
IE,2002,100
IE,2003,141
IE,2004,127
IE,2005,130
IE,2006,133
IE,2007,135
IE,2008,123
IL,1993,150
IL,1994,129
IL,1996,147
IL,1997,207
IL,1998,221
IL,1999,170
IL,2000,17
IL,2001,172
IL,2002,164
IL,2003,150
IL,2004,91
IL,2005,98
IL,2006,72
IL,2007,143
IL,2008,173
IN,1993,225256
IN,1994,226543
IN,1995,264515
IN,1996,290953
IN,1997,274877
IN,1998,278275
IN,1999,345150
IN,2000,349374
IN,2001,384827
IN,2002,395833
IN,2003,433564
IN,2004,489195
IN,2005,508890
IN,2006,553851
IN,2007,592587
IN,2008,615977
IQ,1988,1550
IQ,1989,1231
IQ,1990,1587
IQ,1991,1512
IQ,1992,2304
IQ,1993,5240
IQ,1994,5781
IQ,1995,3194
IQ,1996,10320
IQ,1997,8164
IQ,1998,8933
IQ,1999,9908
IQ,2000,3194
IQ,2001,3559
IQ,2002,3895
IQ,2003,3577
IQ,2004,3381
IQ,2005,3096
IQ,2006,2886
IQ,2007,2726
IQ,2008,3150
IR,1994,4615
IR,1995,5347
IR,1996,5373
IR,1997,5253
IR,1998,5105
IR,1999,5426
IR,2000,5361
IR,2001,5529
IR,2002,5366
IR,2003,5188
IR,2004,4900
IR,2005,4581
IR,2006,4802
IR,2007,4701
IR,2008,4722
IS,1994,6
IS,1995,2
IS,1996,1
IS,1997,4
IS,1998,2
IS,1999,2
IS,2000,1
IS,2001,3
IS,2002,2
IS,2003,1
IS,2004,2
IS,2005,2
IS,2006,4
IS,2007,2
IS,2008,2
IT,1994,1441
IT,1995,1413
IT,1996,1738
IT,1997,1903
IT,1998,2361
IT,1999,1277
IT,2000,687
IT,2001,1361
IT,2002,1275
IT,2003,1481
IT,2004,1058
IT,2005,1275
IT,2006,1377
IT,2007,979
IT,2008,938
JM,1993,83
JM,1994,61
JM,1995,93
JM,1996,81
JM,1997,84
JM,1998,90
JM,1999,90
JM,2000,90
JM,2001,75
JM,2002,60
JM,2003,81
JM,2004,69
JM,2005,53
JM,2006,61
JM,2007,78
JM,2008,78
JO,1993,173
JO,1994,161
JO,1995,187
JO,1996,170
JO,1997,136
JO,1998,110
JO,1999,102
JO,2000,89
JO,2001,94
JO,2002,91
JO,2003,108
JO,2004,91
JO,2005,86
JO,2006,104
JO,2007,109
JO,2008,104
JP,1993,17890
JP,1994,16770
JP,1995,14367
JP,1996,12867
JP,1997,13571
JP,1998,11935
JP,1999,12909
JP,2000,11853
JP,2001,11408
JP,2002,10807
JP,2003,10843
JP,2004,10471
JP,2005,10931
JP,2006,10159
JP,2007,9433
JP,2008,8995
KE,1987,5900
KE,1988,6400
KE,1989,6600
KE,1990,6800
KE,1991,7000
KE,1992,7700
KE,1993,10149
KE,1994,11324
KE,1995,13934
KE,1996,16978
KE,1997,19040
KE,1998,24029
KE,1999,27197
KE,2000,28773
KE,2001,31307
KE,2002,34337
KE,2003,38158
KE,2004,41167
KE,2005,40389
KE,2006,39154
KE,2007,38360
KE,2008,36811
KG,1994,681
KG,1995,832
KG,1996,991
KG,1997,1536
KG,1998,830
KG,1999,1642
KG,2000,1296
KG,2001,0
KG,2002,1587
KG,2003,1643
KG,2004,1761
KG,2005,1972
KG,2006,1833
KG,2007,1720
KG,2008,1712
KH,1994,11058
KH,1995,11101
KH,1996,12065
KH,1997,12686
KH,1998,13865
KH,1999,15744
KH,2000,14822
KH,2001,14361
KH,2002,17258
KH,2003,18923
KH,2004,18978
KH,2005,21001
KH,2006,19294
KH,2007,19421
KH,2008,19860
KI,1993,99
KI,1994,184
KI,1996,144
KI,1997,50
KI,1998,52
KI,1999,59
KI,2000,54
KI,2001,64
KI,2002,82
KI,2003,99
KI,2004,142
KI,2005,124
KI,2006,129
KI,2007,103
KI,2008,147
KM,1995,103
KM,1996,107
KM,1997,100
KM,1998,99
KM,1999,112
KM,2000,87
KM,2001,92
KM,2002,72
KM,2003,48
KM,2004,63
KM,2005,79
KM,2006,67
KM,2008,77
KN,1993,2
KN,1994,2
KN,1995,4
KN,1996,2
KN,1998,4
KN,1999,2
KN,2000,0
KN,2001,0
KN,2002,1
KN,2004,0
KN,2005,0
KN,2006,1
KN,2007,4
KN,2008,5
KP,1997,3980
KP,1998,403
KP,1999,5073
KP,2000,16440
KP,2001,14429
KP,2002,18576
KP,2003,17392
KP,2004,18479
KP,2005,17796
KP,2006,18435
KP,2007,23575
KP,2008,28026
KR,1993,16630
KR,1994,13266
KR,1995,11754
KR,1996,11420
KR,1997,9957
KR,1998,10359
KR,1999,9559
KR,2000,8216
KR,2001,11805
KR,2002,11345
KR,2003,10976
KR,2004,11471
KR,2005,11638
KR,2006,11513
KR,2007,10927
KR,2008,11048
KW,1993,148
KW,1994,155
KW,1995,175
KW,1996,153
KW,1997,201
KW,1998,185
KW,1999,169
KW,2000,180
KW,2001,174
KW,2002,206
KW,2003,201
KW,2004,247
KW,2005,187
KW,2006,284
KW,2007,274
KW,2008,345
KY,1993,2
KY,1995,0
KY,1996,0
KY,1997,0
KY,1998,2
KY,1999,2
KY,2000,5
KY,2001,1
KY,2002,0
KY,2003,0
KY,2004,1
KY,2006,0
KY,2007,1
KZ,1995,3022
KZ,1996,4290
KZ,1997,4332
KZ,1998,6180
KZ,1999,6977
KZ,2000,8903
KZ,2001,9079
KZ,2002,9452
KZ,2003,8665
KZ,2004,7927
KZ,2005,6911
KZ,2006,6205
KZ,2007,6195
KZ,2008,6193
LA,1995,478
LA,1996,886
LA,1997,1234
LA,1998,1494
